id,surah_id,content,translate_en,translate_id,number,juz
3001,26,"وَٱتْلُ عَلَيْهِمْ نَبَأَ إِبْرَٰهِيمَ","And convey unto them the story of Abraham –","Dan bacakanlah kepada mereka kisah Ibrahim.",69,19
3002,26,"إِذْ قَالَ لِأَبِيهِ وَقَوْمِهِۦ مَا تَعْبُدُونَ","[how it was] when he asked his father and his people, “What is it that you worship?”","Ketika ia berkata kepada bapaknya dan kaumnya: ""Apakah yang kamu sembah?""",70,19
3003,26,"قَالُوا۟ نَعْبُدُ أَصْنَامًۭا فَنَظَلُّ لَهَا عَٰكِفِينَ","They answered: We worship idols, and we remain ever devoted to them.”","Mereka menjawab: ""Kami menyembah berhala-berhala dan kami senantiasa tekun menyembahnya"".",71,19
3004,26,"قَالَ هَلْ يَسْمَعُونَكُمْ إِذْ تَدْعُونَ","Said he: “Do [you really think that] they hear you when you invoke them,","Berkata Ibrahim: ""Apakah berhala-berhala itu mendengar (doa)mu sewaktu kamu berdoa (kepadanya)?,",72,19
3005,26,"أَوْ يَنفَعُونَكُمْ أَوْ يَضُرُّونَ","or benefit you or do you harm?”","atau (dapatkah) mereka memberi manfaat kepadamu atau memberi mudharat?""",73,19
3006,26,"قَالُوا۟ بَلْ وَجَدْنَآ ءَابَآءَنَا كَذَٰلِكَ يَفْعَلُونَ","They exclaimed: But we found our fore­fathers doing the same!”","Mereka menjawab: ""(Bukan karena itu) sebenarnya kami mendapati nenek moyang kami berbuat demikian"".",74,19
3007,26,"قَالَ أَفَرَءَيْتُم مَّا كُنتُمْ تَعْبُدُونَ","Said [Abraham]: “Have you, then, ever con­sidered what it is that you have been worshipping","Ibrahim berkata: ""Maka apakah kamu telah memperhatikan apa yang selalu kamu sembah,",75,19
3008,26,"أَنتُمْ وَءَابَآؤُكُمُ ٱلْأَقْدَمُونَ","you and those ancient forebears of yours?","kamu dan nenek moyang kamu yang dahulu?,",76,19
3009,26,"فَإِنَّهُمْ عَدُوٌّۭ لِّىٓ إِلَّا رَبَّ ٱلْعَٰلَمِينَ","“Now [as for me, I know that,] verily, these [false deities] are my enemies, [and that none is my helper] save the Sustainer of all the worlds,","karena sesungguhnya apa yang kamu sembah itu adalah musuhku, kecuali Tuhan Semesta Alam,",77,19
3010,26,"ٱلَّذِى خَلَقَنِى فَهُوَ يَهْدِينِ","who has created me and is the One who guides me,","(yaitu Tuhan) Yang telah menciptakan aku, maka Dialah yang menunjuki aku,",78,19
3011,26,"وَٱلَّذِى هُوَ يُطْعِمُنِى وَيَسْقِينِ","and is the One who gives me to eat and to drink,","dan Tuhanku, Yang Dia memberi makan dan minum kepadaku,",79,19
